x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,y
3.08,55769,55765,54696,55284,7558.05,1608.75,28.87,16732.5,1899.4,1900.2,552340,1.5,2.1,472.16,2.59,6.21,1.29,53484
3.1,55765,54696,55284,52404,7550.05,1599.26,28.58,16695.67,1879.78,1875.73,567915,1.5,2.1,471.9,2.59,6.21,1.28,53468
2.96,54696,55284,52404,51010,7408.4,1573.67,27.27,16128.63,1851.22,1835.92,574580,1.1,2.4,470.84,2.58,6.2,1.29,53853
2.87,55284,52404,51010,51246,7504.08,1551.08,27.24,16014.2,1858.9,1868.07,587740,1.1,2.4,467.64,2.58,6.2,1.31,53488
2.76,52404,51010,51246,53484,7100.85,1378.58,23.12,15438.5,1865.2,1847.8,611665,1.1,2.4,474.05,2.58,6.18,1.31,53802
2.78,51010,51246,53484,53468,6979.25,1439.18,23.52,15192.1,1874.2,1867.25,618625,1.1,2.4,474.76,2.61,6.17,1.3,52862
2.79,51246,53484,53468,53853,6993.05,1468.21,24.03,15052.95,1820,1829.95,615850,1.28,2.22,471.26,2.64,6.16,1.31,51362
2.86,53484,53468,53853,53488,7312.15,1459.68,23.87,15220.68,1855.33,1842.23,605415,1.4,2.1,470.96,2.61,6.15,1.31,46208
2.86,53468,53853,53488,53802,7259.85,1398.45,22.89,14930.1,1823.95,1809.4,621455,1.4,2.1,478.15,2.62,6.15,1.29,50298
2.85,53853,53488,53802,52862,7338.1,1382.99,22.48,14952.1,1825.7,1827.25,624975,1.4,2.1,486.13,2.66,6.13,1.29,50119
2.82,53488,53802,52862,51362,7274.1,1393.61,22.45,14758.3,1842.18,1857.2,614672.5,1.4,2.1,491.99,2.69,6.13,1.29,50608
2.83,53802,52862,51362,46208,7330.8,1401.39,22.36,15091.1,1918.75,1909.35,612770,1.8,2.7,501.42,2.73,6.13,1.31,51165
2.85,52862,51362,46208,50298,7064.2,1385.24,21.8,14343.4,1835.27,1825,610835,1.8,2.7,498.26,2.74,6.13,1.33,50355
2.84,51362,46208,50298,50119,6893.35,1333.9,20.88,14010.5,1775.96,1812.85,641585,1.8,2.7,503.41,2.76,6.13,1.33,51312
2.74,46208,50298,50119,50608,6712.6,1243.27,19.13,13676.1,1728.17,1808.85,671475,1.8,2.7,507.13,2.78,6.14,1.3,52734
2.83,50298,50119,50608,51165,6926.3,1242.95,19.41,13726,1765.65,1838.85,661075,2,2.7,504.16,2.78,6.13,1.3,53212
2.99,50119,50608,51165,50355,6859.05,1263.32,19.52,13490.35,1773.9,1856,647735,2,2.7,507.17,2.77,6.13,1.3,53180
3.11,50608,51165,50355,51312,6907.8,1285.75,19.59,13811,1766.2,1835.2,639965,2,2.7,500.36,2.76,6.14,1.31,52606
3.05,51165,50355,51312,52734,6984.9,1333.76,20.24,14048.1,1787.5,1841,627700,2,2.7,503.63,2.78,6.14,1.32,52392
3.02,50355,51312,52734,53212,6888.45,1317.95,19.73,13726.4,1753.2,1810.95,612905,1.8,2.66,513.12,2.79,6.13,1.33,52087
2.9,51312,52734,53212,53180,7069.25,1299.51,19.82,14045.2,1773.15,1844.65,601140,1.5,2.6,511.37,2.79,6.12,1.33,52450
2.95,52734,53212,53180,52606,7285.45,1345.24,22.15,14745.9,1855.02,1922.95,587880,1.5,2.6,509.18,2.79,6.12,1.33,52716.67
2.95,53212,53180,52606,52392,7279.85,1374.46,23.2,14516.8,1852.57,1941.85,569325,1.5,2.6,514.28,2.81,6.12,1.34,52504.33
3.03,53180,52606,52392,52087,7213.75,1408.46,24.07,14117.1,1809.61,1915.97,577427.5,1.5,2.6,511.88,2.81,6.12,1.33,52434
2.86,52606,52392,52087,52450,7147.85,1390.35,23.74,13692.2,1765.16,1852.4,600010,1.2,3.1,508.69,2.8,6.12,1.32,52179
2.76,52392,52087,52450,52716.67,7095.18,1352.63,22.71,13757.15,1754.6,1837.1,585130,1.2,3.1,504.47,2.78,6.12,1.33,51886
2.7,52087,52450,52716.67,52504.33,7165.35,1334.62,22.18,13942.6,1748.55,1836.05,570410,1.2,3.1,502.62,2.75,6.12,1.34,51723
2.67,52450,52716.67,52504.33,52434,7202.5,1327.14,21.67,13796.9,1769.5,1855,548445,1.2,3.1,500.05,2.76,6.12,1.35,51278
2.63,52716.67,52504.33,52434,52179,7220.15,1311.24,21.43,13731.2,1790.02,1847.6,531820,1.04,3.02,501.84,2.77,6.12,1.36,50655
2.65,52504.33,52434,52179,51886,7159.9,1300.86,21.86,13765.4,1821.93,1853.15,515575,1,3,498.97,2.78,6.12,1.35,50964
2.67,52434,52179,51886,51723,7222.3,1294.28,21.49,14007.9,1807.9,1891.8,502515,1,3,496.34,2.76,6.1,1.36,50804
2.6,52179,51886,51723,51278,7207,1337.03,22.51,14515.9,1814.5,1909.25,488505,1,3,503.01,2.76,6.09,1.38,51263
2.61,51886,51723,51278,50655,7229.85,1335.21,22.24,14566.2,1829.65,1925.05,476690,1.04,2.96,508.6,2.76,6.09,1.37,51259
2.53,51723,51278,50655,50964,7144.2,1307.81,21.64,14083.2,1774.4,1878.4,469250,1.2,2.8,515.73,2.79,6.09,1.35,51781
2.63,51278,50655,50964,50804,7051.3,1281.73,20.84,13636.25,1751.1,1857.75,457430,1.2,2.8,520.22,2.8,6.09,1.35,52219
2.69,50655,50964,50804,51263,7006.2,1255.78,20.08,13477.9,1739.45,1864.4,444705,1.2,2.8,520.47,2.8,6.09,1.35,52069
2.69,50964,50804,51263,51259,7047.75,1244.94,19.86,13372.5,1716.65,1857.15,431455,1.2,2.8,526.23,2.8,6.09,1.36,52032
2.71,50804,51263,51259,51781,7039.45,1227.88,19.35,13565.8,1713.35,1870.45,414815,1.5,2.5,530.95,2.8,6.09,1.36,51592
2.66,51263,51259,51781,52219,7208.55,1243.44,19.93,13947.2,1756.72,1953.15,399255,1.5,2.5,530.17,2.78,6.07,1.38,50813.83
2.7,51259,51781,52219,52069,7269.6,1216.12,19.64,14111.6,1744.27,1996.35,385430,1.5,2.5,528.35,2.76,6.07,1.37,50911.67
2.81,51781,52219,52069,52032,7327.7,1205.84,19.65,14142.6,1734.3,2084.75,372990,1.5,2.5,527.25,2.78,6.07,1.37,50682
2.73,52219,52069,52032,51592,7377.97,1213.41,19.71,13901.5,1754.63,2075.3,364942.5,1.56,2.5,526.95,2.79,6.05,1.37,50672
2.66,52069,52032,51592,50813.83,7326.3,1234.18,19.83,13501.7,1726.15,2029.1,350600,1.6,2.5,531.87,2.8,6.05,1.36,49468
2.62,52032,51592,50813.83,50911.67,7351.85,1246.96,20.23,14444.4,1745.53,2074.5,337480,1.6,2.5,531.31,2.8,6.05,1.36,48908
2.65,51592,50813.83,50911.67,50682,7306.4,1252.7,19.97,14595.8,1738.58,2057.05,329595,1.6,2.5,545.15,2.81,6.05,1.36,45170
2.64,50813.83,50911.67,50682,50672,7150.7,1253.48,19.45,13958.1,1693.3,1979.75,319500,1.6,2.5,549.59,2.82,6.06,1.36,45252
2.66,50911.67,50682,50672,49468,7121.7,1258.77,19.71,13873.9,1656.76,1984.2,311130,1.1,2,556.12,2.82,6.06,1.35,46099
2.76,50682,50672,49468,48908,7152.95,1295.5,20.47,14191.4,1683.52,2017.75,302415,1.1,2,550.55,2.81,6.06,1.36,47081
2.83,50672,49468,48908,45170,7214.5,1321.67,21.73,14379.8,1718.45,2058.35,290950,1.1,2,551.39,2.8,6.08,1.37,47490
2.8,49468,48908,45170,45252,7107.7,1332.55,21.48,14369.1,1721.93,2077.8,277720,1.1,2,557.93,2.8,6.12,1.37,47877
2.97,48908,45170,45252,46099,7006.8,1342.16,21.2,15152.1,1721.1,2117.85,272755,1.5,2.4,561.71,2.8,6.13,1.38,48513
2.95,45170,45252,46099,47081,6522.8,1360.42,21.09,15599,1710.4,2005.35,256615,1.5,2.4,572.41,2.8,6.14,1.39,50021
2.89,45252,46099,47081,47490,6500.55,1342.22,20.6,16035.9,1683.42,1956.05,265680,1.5,2.4,567.18,2.81,6.2,1.38,49373
2.91,46099,47081,47490,47877,6570,1301.66,19.8,15888.9,1698.77,1959.9,267200,1.5,2.4,555.74,2.81,6.21,1.38,50362
2.9,47081,47490,47877,48513,6650.65,1287.58,19.81,16119.3,1774.2,1975.3,261535,1.9,1.92,553.06,2.81,6.21,1.38,50189
2.99,47490,47877,48513,50021,6658.05,1310.32,19.91,16758.6,1820,2013.7,251260,2,1.8,547.52,2.78,6.21,1.38,50231
3.05,47877,48513,50021,49373,6633.22,1303.94,19.68,17808.93,1832.78,2046.25,242900,2,1.8,555.07,2.77,6.22,1.38,50027.5
